USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
VT	5000911800	01462064	Canaan town	A	85526365	1001721	33.022	0.387	44.991356	-71.598024                                                                                                                 
VT	5000915250	01462074	Concord town	A	132826613	5657915	51.285	2.185	44.439085	-71.826104                                                                                                               
VT	5000921250	01462086	East Haven town	A	96484367	116093	37.253	0.045	44.663758	-71.80518                                                                                                               
VT	5000925975	01462097	Ferdinand town	I	136906364	588881	52.86	0.227	44.727755	-71.787279                                                                                                               
VT	5000929125	01462106	Granby town	A	100282642	240204	38.719	0.093	44.598729	-71.747173                                                                                                                 
VT	5000930775	01462111	Guildhall town	A	85391281	76269	32.97	0.029	44.540713	-71.610073                                                                                                                 
VT	5000939700	01462133	Lemington town	A	91762257	373773	35.43	0.144	44.882006	-71.58029                                                                                                                 
VT	5000939775	01462134	Lewis town	I	100713120	332299	38.886	0.128	44.870301	-71.737028                                                                                                                  
VT	5000941425	01462139	Lunenburg town	A	116998026	1622981	45.173	0.627	44.470995	-71.705947                                                                                                             
VT	5000942475	01462141	Maidstone town	A	79498953	3927976	30.695	1.517	44.647616	-71.631944                                                                                                              
VT	5000952750	01462165	Norton town	A	99428306	1047358	38.389	0.404	44.977295	-71.804338                                                                                                                 
VT	5000975175	01462236	Victory town	A	111250313	328518	42.954	0.127	44.558787	-71.816917                                                                                                                
VT	5000976337	01460374	Warner's grant	N	8286161	0	3.199	0.	44.920946	-71.906297                                                                                                                         
VT	5000976562	01462276	Warren's gore	N	24532186	2159972	9.472	0.834	44.920522	-71.860235                                                                                                                
VT	5001102500	01462031	Bakersfield town	A	108990793	256695	42.082	0.099	44.789581	-72.784737                                                                                                            
VT	5001105425	01462041	Berkshire town	A	107977139	569265	41.69	0.22	44.971934	-72.742841                                                                                                                
VT	5001124050	01462090	Enosburgh town	A	123278559	1267409	47.598	0.489	44.877815	-72.750762                                                                                                             
VT	5001124925	01462092	Fairfax town	A	102923828	1498531	39.739	0.579	44.702359	-72.997753                                                                                                               
VT	5001125225	01462093	Fairfield town	A	174333510	2794673	67.311	1.079	44.808313	-72.928048                                                                                                             
VT	5001126500	01462099	Fletcher town	A	99319293	668308	38.347	0.258	44.712616	-72.900456                                                                                                                
VT	5001127100	01462100	Franklin town	A	99934777	5903159	38.585	2.279	44.976769	-72.90172                                                                                                                
VT	5001127700	01462101	Georgia town	A	101909652	15306110	39.348	5.91	44.722439	-73.128452                                                                                                               
VT	5001133025	01462118	Highgate town	A	132156861	23396219	51.026	9.033	44.963198	-73.059857                                                                                                             
VT	5001145850	01462151	Montgomery town	A	145942558	201709	56.349	0.078	44.860092	-72.605245                                                                                                             
VT	5001159125	01462185	Richford town	A	111194664	707848	42.933	0.273	44.948651	-72.599157                                                                                                               
VT	5001161675	01462196	St. Albans city	F	5064444	4268	1.955	0.002	44.811538	-73.084462                                                                                                                  
VT	5001161750	01462197	St. Albans town	A	96174593	61378223	37.133	23.698	44.811361	-73.145896                                                                                                           
VT	5001164600	01462207	Sheldon town	A	100080746	1809124	38.641	0.699	44.898577	-72.921425                                                                                                               
VT	5001171725	01462225	Swanton town	A	124899615	34890371	48.224	13.471	44.909619	-73.123862                                                                                                             
VT	5001300860	01462025	Alburgh town	A	75373353	47562250	29.102	18.364	44.957882	-73.291974                                                                                                              
VT	5001329275	01462107	Grand Isle town	A	42510685	48160415	16.413	18.595	44.716287	-73.299627                                                                                                           
VT	5001335875	01462125	Isle La Motte town	A	20421053	27261134	7.885	10.526	44.871325	-73.3492                                                                                                           
VT	5001350650	01462164	North Hero town	A	34846768	84299391	13.454	32.548	44.835081	-73.225658                                                                                                           
VT	5001367000	01462213	South Hero town	A	38630491	81671658	14.915	31.534	44.627092	-73.309226                                                                                                           
VT	5001504375	01462038	Belvidere town	A	92206005	138864	35.601	0.054	44.772519	-72.690391                                                                                                               
VT	5001511500	01462063	Cambridge town	A	163019447	1342592	62.942	0.518	44.626547	-72.815371                                                                                                             
VT	5001523500	01462088	Eden town	A	162970287	2552928	62.923	0.986	44.714431	-72.539415                                                                                                                  
VT	5001523725	01462089	Elmore town	A	100826320	1416251	38.929	0.547	44.488071	-72.514287                                                                                                                
VT	5001535050	01462122	Hyde Park town	A	97566215	3498053	37.671	1.351	44.624262	-72.570417                                                                                                              
VT	5001537075	01462129	Johnson town	A	117378144	975830	45.32	0.377	44.648124	-72.68884                                                                                                                  
VT	5001546675	01462154	Morristown town	A	131520485	1343856	50.78	0.519	44.546964	-72.6422                                                                                                               
VT	5001570525	01462219	Stowe town	A	187660671	432400	72.456	0.167	44.491806	-72.712611                                                                                                                  
VT	5001577425	01462246	Waterville town	A	40622774	118129	15.685	0.046	44.737917	-72.762322                                                                                                              
VT	5001585375	01462269	Wolcott town	A	100873611	925897	38.948	0.357	44.573033	-72.44665                                                                                                                 
VT	5001707375	01462046	Bradford town	A	76818599	578962	29.66	0.224	44.012176	-72.158296                                                                                                                 
VT	5001707600	01462047	Braintree town	A	99570810	275788	38.445	0.106	43.967072	-72.708604                                                                                                               
VT	5001709325	01462054	Brookfield town	A	105876670	921312	40.879	0.356	44.023908	-72.587891                                                                                                             
VT	5001713525	01462069	Chelsea town	A	103731778	123968	40.051	0.048	43.991158	-72.457292                                                                                                                
VT	5001715700	01462075	Corinth town	A	124945252	284940	48.242	0.11	44.043224	-72.282378                                                                                                                 
VT	5001725675	01462095	Fairlee town	A	51715954	2808176	19.968	1.084	43.91798	-72.180212                                                                                                                 
VT	5001748175	01462158	Newbury town	A	165884242	1351644	64.048	0.522	44.119321	-72.117434                                                                                                               
VT	5001753425	01462167	Orange town	A	100199779	724441	38.687	0.28	44.166527	-72.346614                                                                                                                  
VT	5001758075	01462182	Randolph town	A	124240343	392024	47.969	0.151	43.921685	-72.610915                                                                                                               
VT	5001770675	01462220	Strafford town	A	114179722	470499	44.085	0.182	43.874962	-72.364935                                                                                                              
VT	5001772400	01462226	Thetford town	A	112800232	2081778	43.552	0.804	43.836709	-72.249496                                                                                                              
VT	5001773075	01462228	Topsham town	A	126706618	239800	48.922	0.093	44.155657	-72.245911                                                                                                                
VT	5001773675	01462231	Tunbridge town	A	115609011	394352	44.637	0.152	43.900602	-72.485353                                                                                                              
VT	5001774950	01462235	Vershire town	A	93500027	133123	36.101	0.051	43.956765	-72.326539                                                                                                                
VT	5001776750	01462243	Washington town	A	100961054	144403	38.981	0.056	44.076165	-72.422633                                                                                                             
VT	5001779975	01462249	West Fairlee town	A	58588748	560978	22.621	0.217	43.924282	-72.220938                                                                                                            
VT	5001784175	01462262	Williamstown town	A	104014501	519077	40.16	0.2	44.110905	-72.541526                                                                                                              
VT	5001900475	01462024	Albany town	A	99830311	1135549	38.545	0.438	44.736004	-72.335967                                                                                                                 
VT	5001903550	01462037	Barton town	A	110681933	4208357	42.735	1.625	44.770228	-72.149733                                                                                                                
VT	5001909850	01462056	Brownington town	A	72730870	722634	28.082	0.279	44.829179	-72.127603                                                                                                             
VT	5001913150	01462067	Charleston town	A	96102891	3703014	37.106	1.43	44.870982	-72.025024                                                                                                              
VT	5001916150	01462077	Coventry town	A	69986513	2043724	27.022	0.789	44.888126	-72.234192                                                                                                               
VT	5001916300	01462078	Craftsbury town	A	101009278	1443997	39.	0.558	44.648082	-72.38941                                                                                                                
VT	5001917350	01462081	Derby town	A	126865268	21662934	48.983	8.364	44.951696	-72.136303                                                                                                                
VT	5001928075	01462103	Glover town	A	97274448	2522919	37.558	0.974	44.678709	-72.233382                                                                                                                 
VT	5001930175	01462109	Greensboro town	A	97906517	4533332	37.802	1.75	44.602008	-72.284763                                                                                                              
VT	5001933775	01462277	Holland town	A	98241076	1906159	37.931	0.736	44.9721	-71.986969                                                                                                                  
VT	5001935575	01462124	Irasburg town	A	104302251	693339	40.271	0.268	44.819421	-72.283121                                                                                                               
VT	5001936325	01462127	Jay town	A	87840666	125582	33.915	0.048	44.956936	-72.507457                                                                                                                     
VT	5001940525	01462137	Lowell town	A	146401788	207612	56.526	0.08	44.793437	-72.458451                                                                                                                  
VT	5001946450	01462275	Morgan town	A	80822256	7556815	31.206	2.918	44.896128	-71.941243                                                                                                                 
VT	5001948850	01462161	Newport city	F	15171890	4574098	5.858	1.766	44.936689	-72.209558                                                                                                                 
VT	5001948925	01462162	Newport town	A	107555208	5165883	41.527	1.995	44.932119	-72.300131                                                                                                               
VT	5001973525	01462230	Troy town	A	93570425	824333	36.128	0.318	44.931664	-72.384915                                                                                                                    
VT	5001980200	01462250	Westfield town	A	103368989	273484	39.911	0.106	44.883477	-72.484927                                                                                                              
VT	5001981700	01462254	Westmore town	A	89218126	8105123	34.447	3.129	44.766032	-71.997112                                                                                                               
VT	5002105200	01462040	Benson town	A	113651207	3971123	43.881	1.533	43.710063	-73.302976                                                                                                                
VT	5002107750	01462048	Brandon town	A	102913147	580731	39.735	0.224	43.805348	-73.075321                                                                                                                
VT	5002111950	01462065	Castleton town	A	100858959	8939647	38.942	3.452	43.652757	-73.161222                                                                                                             
VT	5002114350	01462071	Chittenden town	A	188383539	3174076	72.735	1.226	43.777668	-72.89685                                                                                                             
VT	5002114500	01462072	Clarendon town	A	81031834	557196	31.287	0.215	43.532008	-72.988504                                                                                                               
VT	5002116825	01462079	Danby town	A	107599269	328278	41.544	0.127	43.338334	-73.096496                                                                                                                  
VT	5002125375	01462094	Fair Haven town	A	45347090	1843177	17.509	0.712	43.620605	-73.260355                                                                                                             
VT	5002134450	01462120	Hubbardton town	A	70505640	3531337	27.222	1.363	43.733999	-73.163513                                                                                                             
VT	5002135425	01462123	Ira town	A	57660948	17129	22.263	0.007	43.569089	-73.097675                                                                                                                      
VT	5002137685	01462208	Killington town	A	122587615	702976	47.331	0.271	43.657594	-72.784406                                                                                                             
VT	5002144125	01462145	Mendon town	A	98309766	92196	37.958	0.036	43.624582	-72.910192                                                                                                                   
VT	5002144800	01462148	Middletown Springs town	A	58791398	24301	22.699	0.009	43.487222	-73.125431                                                                                                       
VT	5002147200	01462155	Mount Holly town	A	127162742	1177334	49.098	0.455	43.422927	-72.805828                                                                                                           
VT	5002147425	01462156	Mount Tabor town	A	114239500	371441	44.108	0.143	43.350807	-72.921625                                                                                                            
VT	5002154250	01462170	Pawlet town	A	110964556	538211	42.844	0.208	43.360669	-73.186323                                                                                                                 
VT	5002155450	01462173	Pittsfield town	A	53038633	170346	20.478	0.066	43.80423	-72.836897                                                                                                               
VT	5002155600	01462174	Pittsford town	A	112113009	658484	43.287	0.254	43.709961	-73.048459                                                                                                              
VT	5002156875	01462178	Poultney town	A	110223965	2739845	42.558	1.058	43.539935	-73.189193                                                                                                              
VT	5002157250	01462180	Proctor town	A	19203742	434438	7.415	0.168	43.652879	-73.033432                                                                                                                  
VT	5002161225	01462193	Rutland city	F	19562140	302417	7.553	0.117	43.60967	-72.977788                                                                                                                   
VT	5002161300	01462194	Rutland town	A	49353210	456695	19.055	0.176	43.64465	-72.953042                                                                                                                  
VT	5002165275	01462210	Shrewsbury town	A	129660709	537225	50.062	0.207	43.523441	-72.860171                                                                                                             
VT	5002171050	01462222	Sudbury town	A	55409219	1943172	21.394	0.75	43.798228	-73.174273                                                                                                                 
VT	5002172925	01462227	Tinmouth town	A	74050391	429892	28.591	0.166	43.442156	-73.067074                                                                                                                
VT	5002175925	01462239	Wallingford town	A	110092950	1160477	42.507	0.448	43.427094	-72.949941                                                                                                           
VT	5002177950	01462248	Wells town	A	57867586	2263889	22.343	0.874	43.442821	-73.191066                                                                                                                  
VT	5002180875	01462252	West Haven town	A	72838833	1675200	28.123	0.647	43.639255	-73.361595                                                                                                             
VT	5002182300	01462256	West Rutland town	A	46692437	139667	18.028	0.054	43.612399	-73.060304                                                                                                            
VT	5002303175	01462035	Barre city	F	10327563	83567	3.987	0.032	44.199088	-72.507979                                                                                                                     
VT	5002303250	01462036	Barre town	A	79183873	393130	30.573	0.152	44.182993	-72.47505                                                                                                                    
VT	5002305650	01462042	Berlin town	A	93344938	1764962	36.041	0.681	44.204483	-72.607591                                                                                                                 
VT	5002311125	01462061	Cabot town	A	96181962	3313053	37.136	1.279	44.388725	-72.28876                                                                                                                   
VT	5002311350	01462062	Calais town	A	98239517	1615483	37.93	0.624	44.361621	-72.46583                                                                                                                   
