USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
VT	5000148700	01462160	New Haven town	A	106590692	907385	41.155	0.35	44.104981	-73.165757                                                                                                               
VT	5000153725	01462168	Orwell town	A	122300017	6477287	47.22	2.501	43.809099	-73.277992                                                                                                                 
VT	5000153950	01462169	Panton town	A	40092401	16973162	15.48	6.553	44.130418	-73.340191                                                                                                                 
VT	5000159650	01462187	Ripton town	A	127650280	421512	49.286	0.163	43.984937	-72.996775                                                                                                                 
VT	5000162575	01462200	Salisbury town	A	74956495	2998466	28.941	1.158	43.925495	-73.111528                                                                                                              
VT	5000165050	01462209	Shoreham town	A	111950012	7645403	43.224	2.952	43.899243	-73.315314                                                                                                              
VT	5000170075	01462217	Starksboro town	A	117485652	494698	45.361	0.191	44.210332	-72.993373                                                                                                             
VT	5000174650	01462233	Vergennes city	F	6359939	199983	2.456	0.077	44.16766	-73.255316                                                                                                                  
VT	5000176075	01462240	Waltham town	A	23610483	305013	9.116	0.118	44.123897	-73.229365                                                                                                                  
VT	5000183275	01462258	Weybridge town	A	44282021	1217222	17.097	0.47	44.040329	-73.222785                                                                                                               
VT	5000183800	01462260	Whiting town	A	35227609	271962	13.601	0.105	43.876397	-73.212573                                                                                                                 
VT	5000301450	01462027	Arlington town	A	108847991	491791	42.026	0.19	43.062345	-73.222339                                                                                                               
